"Type","Ref","LocalPath","SourceFile"
"MISSING_DIR_INDEX","./antrix-gst/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\antrix-gst\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./career/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\career\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./students-life/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\students-life\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./news1/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\news1\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./events1/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\events1\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./alumni/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\alumni\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./news-details/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\news-details\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./event-details/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\event-details\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./privacy/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\privacy\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./terms-of-service/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\terms-of-service\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./404/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\404\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./starter-page/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\starter-page\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_DIR_INDEX","./contact/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\contact\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\key-functionaries\index.html"
"MISSING_ASSET",".//fonts.googleapis.com","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\fonts.googleapis.com","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./wp-json/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\wp-json\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_ASSET","./wp-json/wp/v2/pages/165","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\wp-json\wp\v2\pages\165","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_ASSET","./xmlrpc.php?rsd","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\xmlrpc.php","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./about-antrix/leadership/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\about-antrix\leadership\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_ASSET","./wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgithub.com%2FAdyapragnya%2FAntrix%2Fabout-antrix%2Fleadership%2F","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\wp-json\oembed\1.0\embed","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_ASSET","./wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgithub.com%2FAdyapragnya%2FAntrix%2Fabout-antrix%2Fleadership%2F&amp;format=xml","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\wp-json\oembed\1.0\embed","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./about/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\about\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./about-antrix/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\about-antrix\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
"MISSING_DIR_INDEX","./leadership/","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\leadership\index.html","C:\Users\adyap\Desktop\AntrixStatic\about-antrix\leadership\index.html"
